X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-77.0351978533488,38.9233403831183,15th & Euclid St NW,classic,0825525a-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:16+00,11,0,4,4,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.92333,-77.0352,2024/04/01 01:52:28+00,172451636
-77.0362764230202,38.9126561720997,16th & R St NW,classic,0826183f-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:12+00,6,0,12,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.912652,-77.036278,2024/04/01 01:52:28+00,172451637
-76.9940994263414,38.9050946446331,Gallaudet / 8th St & Florida Ave NE,classic,08252b28-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:12+00,19,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.90509,-76.9941,2024/04/01 01:52:28+00,172451638
-77.0708600138901,38.893866898986,N Lynn St & Fairfax Dr,classic,0826402c-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:17+00,2,0,12,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,DCA-CABI,,38.89386,-77.070862,2024/04/01 01:52:28+00,172451639
-76.9868126503982,38.9074542372649,Montello Ave & Holbrook Terr NE,classic,a07bd5e0-5136-4285-ae23-54a74124957e,,2024/04/01 01:49:24+00,10,0,9,5,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.907444,-76.986813,2024/04/01 01:52:28+00,172451640
-76.9678519649046,38.8959649024429,Kingman Island/The Fields at RFK,classic,bed9b757-0df2-4a97-a6ac-415db00e82c8,,2024/04/01 01:49:23+00,13,0,6,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.895955,-76.967845,2024/04/01 01:52:28+00,172451641
-77.010331355664,38.8190999717733,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,classic,7c46ff05-4fca-44e6-a50b-acbc57e8100b,,2024/04/01 01:49:24+00,9,0,5,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.81909,-77.01033,2024/04/01 01:52:28+00,172451642
-77.3615134849014,38.9586668140257,Market St & St Francis St,classic,0136af02-2670-4042-b5cd-18b46c15c0c1,,2024/04/01 01:49:24+00,5,0,7,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",104,DCA-CABI,,38.95866,-77.361516,2024/04/01 01:52:28+00,172451643
-76.9883603619878,38.8904646309254,Lincoln Park / 13th & East Capitol St NE ,classic,0824c229-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:25+00,9,0,14,1,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,25,"KEY,CREDITCARD",42,DCA-CABI,,38.890461,-76.988355,2024/04/01 01:52:28+00,172451644
-77.0281377047284,38.9167932421235,12th & U St NW,classic,08256670-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:35+00,23,1,6,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,31,"KEY,CREDITCARD",42,DCA-CABI,,38.916787,-77.028139,2024/04/01 01:52:28+00,172451645
